央视卫视,#genre#
河北卫视,http://156.238.248.80:8880/play/102.786938.m3u8
河南卫视,http://156.238.248.80:8880/play/103.463188.m3u8
浙江卫视,http://156.238.248.80:8880/play/104.524424.m3u8
海南卫视,http://156.238.248.80:8880/play/105.121997.m3u8
深圳卫视,http://156.238.248.80:8880/play/106.961101.m3u8
深圳卫视,http://156.238.248.80:8880/play/107.957295.m3u8
湖北卫视,http://156.238.248.80:8880/play/108.105202.m3u8
湖北卫视,http://156.238.248.80:8880/play/109.821024.m3u8
湖南卫视,http://156.238.248.80:8880/play/110.932388.m3u8
湖南卫视,http://156.238.248.80:8880/play/111.880160.m3u8
甘肃卫视,http://156.238.248.80:8880/play/112.294054.m3u8
西藏卫视,http://156.238.248.80:8880/play/113.955159.m3u8
辽宁卫视,http://156.238.248.80:8880/play/114.524009.m3u8
辽宁卫视,http://156.238.248.80:8880/play/115.611525.m3u8
重庆卫视,http://156.238.248.80:8880/play/116.183948.m3u8
重庆卫视,http://156.238.248.80:8880/play/117.857696.m3u8
陕西卫视,http://156.238.248.80:8880/play/118.182328.m3u8
陕西卫视,http://156.238.248.80:8880/play/119.714156.m3u8
青海卫视,http://156.238.248.80:8880/play/120.736878.m3u8
浙江卫视4K,http://156.238.248.80:8880/play/121.712596.m3u8
湖南卫视4K,http://156.238.248.80:8880/play/122.685161.m3u8
CHC动作电影,http://156.238.248.80:8880/play/123.659298.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/124.532489.m3u8
CGTN新闻,http://156.238.248.80:8880/play/125.423677.m3u8
CGTN俄语,http://156.238.248.80:8880/play/126.528287.m3u8
CGTN法语,http://156.238.248.80:8880/play/127.880973.m3u8
CGTN纪录,http://156.238.248.80:8880/play/128.371852.m3u8
CGTN西语,http://156.238.248.80:8880/play/129.214021.m3u8
CGTN阿语,http://156.238.248.80:8880/play/130.854952.m3u8
随机点歌1,http://156.238.248.80:8880/play/131.390144.m3u8
随机点歌2,http://156.238.248.80:8880/play/132.678980.m3u8
南山在线,http://156.238.248.80:8880/play/133.580737.m3u8
咪咕央卫,#genre#
CCTV1,http://156.238.248.80:8880/play/134.128135.m3u8
CCTV2,http://156.238.248.80:8880/play/135.535477.m3u8
CCTV3,http://156.238.248.80:8880/play/136.417250.m3u8
CCTV4,http://156.238.248.80:8880/play/137.607030.m3u8
CCTV5,http://156.238.248.80:8880/play/138.934662.m3u8
CCTV5+,http://156.238.248.80:8880/play/139.398299.m3u8
CCTV6,http://156.238.248.80:8880/play/140.746783.m3u8
CCTV7,http://156.238.248.80:8880/play/141.337666.m3u8
CCTV8,http://156.238.248.80:8880/play/142.640670.m3u8
CCTV9,http://156.238.248.80:8880/play/143.706340.m3u8
CCTV10,http://156.238.248.80:8880/play/144.135430.m3u8
CCTV11,http://156.238.248.80:8880/play/145.937297.m3u8
CCTV12,http://156.238.248.80:8880/play/146.683776.m3u8
CCTV13,http://156.238.248.80:8880/play/147.748168.m3u8
CCTV14,http://156.238.248.80:8880/play/148.731418.m3u8
CCTV15,http://156.238.248.80:8880/play/149.687779.m3u8
CCTV17,http://156.238.248.80:8880/play/150.881642.m3u8
CCTV4欧洲,http://156.238.248.80:8880/play/151.190856.m3u8
CCTV4美洲,http://156.238.248.80:8880/play/152.241977.m3u8
赛事最经典,http://156.238.248.80:8880/play/153.645677.m3u8
体坛名栏汇,http://156.238.248.80:8880/play/154.519863.m3u8
四海钓鱼,http://156.238.248.80:8880/play/155.521686.m3u8
大湾区卫视,http://156.238.248.80:8880/play/156.127846.m3u8
陕西体育,http://156.238.248.80:8880/play/157.363979.m3u8
辽宁体育,http://156.238.248.80:8880/play/158.598691.m3u8
